molecule_id,vp_est,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
524067,0,232,1789.83,-3.76,6,FALSE
524068,2.77e-16,69,438.56,3.31,0,FALSE
524070,0,290,1776.33,3.11,2,FALSE
524073,0,207,1503.76,4.11,7,FALSE
524074,0,224,1386.8,2.15,2,TRUE
524079,2.46e-13,78,442.68,6.09,4,FALSE
524080,2.46e-13,78,442.68,6.09,4,FALSE
667989,1.11e-15,107,592.95,9.74,8,FALSE
524110,8.44e-22,130,825.05,6.6,2,FALSE
236542,2.16e-14,68,445.6,5.15,4,FALSE
524083,6.17e-10,59,376.49,3.33,4,FALSE
524084,9.52e-21,103,578.88,4.91,5,FALSE
524085,3.04e-21,51,419.88,-2.46,6,FALSE
524087,5e-14,89,508.79,8.39,5,FALSE
524088,1.27e-16,60,401.5,3.44,3,FALSE
524091,1.27e-16,60,401.5,3.44,3,FALSE
524094,1.35e-43,168,1137.79,4.79,8,FALSE
524097,4.26e-12,74,442.64,5.47,5,FALSE
524100,9.29e-43,120,807.01,1.26,5,FALSE
524103,1.02e-17,105,611.91,6.29,4,FALSE
524104,3.44e-14,75,458.64,5.4,5,FALSE
524105,6.59e-21,71,487.64,1.85,4,FALSE
524106,4.06e-16,83,488.71,5.92,4,FALSE
524114,6.45e-19,87,570.72,4.55,3,FALSE
524115,6.82e-28,117,730.93,1.08,6,TRUE
524117,2.01e-6,34,244.29,3.66,3,FALSE
524121,2.79e-7,53,340.46,5.7,5,FALSE
524124,0,202,1409.53,-4.29,11,TRUE
524127,1.74e-5,39,339.23,2.49,4,FALSE
241337,3.65e-13,51,351.45,2.88,4,FALSE
524129,2.8999999999999996e-31,138,817.17,6.14,5,FALSE
524132,0,142,881.17,2.58,1,FALSE
524136,5.61e-6,30,431.06,3.01,1,FALSE
524137,3.129999999999999e-23,105,640.86,2.41,5,TRUE
524138,4.39e-16,71,556.99,1.2,5,FALSE
524141,2.2e-10,58,364.48,3.36,2,FALSE
524143,4.19e-10,64,366.54,3.7,3,FALSE
