molecule_id,cluster_e,cluster_a,aop_oh_half_life_hours,is_stable
5290,3,7,1.608,TRUE
5291,3,7,1.284,TRUE
5299,3,7,3.024,TRUE
5301,3,7,0.948,TRUE
5306,3,7,0.948,TRUE
5312,3,7,1.368,TRUE
5321,3,7,0.996,TRUE
5796,3,7,5.412,TRUE
5782,3,7,4.0920000000000005,TRUE
5790,3,7,206.35200000000003,TRUE
5793,3,7,1.428,TRUE
5343,3,7,3.24,TRUE
5345,3,7,9.948,TRUE
5350,3,7,1.32,TRUE
5357,3,7,4.68,TRUE
5369,3,7,1.224,TRUE
5400,2_1,7,2.3040000000000003,TRUE
5401,2_1,7,2.3040000000000003,TRUE
5425,3,7,9.264,TRUE
5432,3,7,1.344,TRUE
5433,3,7,3.12,TRUE
5443,3,7,4.452,TRUE
5471,3,7,18.324,TRUE
5479,2_1,7,0.5640000000000001,TRUE
5485,3,7,3.4559999999999995,TRUE
5490,3,7,2.472,TRUE
5491,2_1,7,24.564,TRUE
5501,3,7,17.304,TRUE
5515,3,7,4.5120000000000005,TRUE
5525,3,7,1.812,TRUE
5528,3,7,1.956,TRUE
5529,3,7,127.332,TRUE
5540,3,7,2.248,TRUE
5554,3,7,13.812,TRUE
5594,3,7,2.968,TRUE
5613,2_1,7,2.256,TRUE
5617,2_1,7,2.256,TRUE
5633,3,7,1.7279999999999998,TRUE
5644,3,7,2.82,TRUE
5646,3,7,13.812,TRUE
5648,3,7,3.144,TRUE
5650,3,7,206.35200000000003,TRUE
5688,3,7,1.884,TRUE
5701,3,7,75.336,TRUE
5708,2_1,7,9.468,TRUE
5802,3,7,1.7399999999999998,TRUE
5808,3,7,3.648,TRUE
5809,3,7,4.632,TRUE
5821,3,7,1.476,TRUE
5825,3,7,1.068,TRUE
5840,3,7,11.64,TRUE
5845,3,7,11.64,TRUE
5847,3,7,1.517,TRUE
5857,3,7,2.688,TRUE
5873,3,7,3.648,TRUE
5874,3,7,1.7639999999999998,TRUE
5876,3,7,1.668,TRUE
5882,3,7,1.344,TRUE
5885,3,7,31.223999999999997,TRUE
5889,3,7,1.668,TRUE
5912,3,7,10.236,TRUE
5921,2_1,7,31.728,TRUE
5928,2_1,7,15.035999999999998,TRUE
5944,3,7,2.364,TRUE
5994,3,7,1.7279999999999998,TRUE
6007,8,7,0.948,TRUE
6010,3,7,2.052,TRUE
6035,3,7,0.552,TRUE
6048,3,7,6.204000000000001,TRUE
6059,3,7,1.512,TRUE
6074,3,7,4.295999999999999,TRUE
6075,3,7,3.4079999999999995,TRUE
6082,3,7,28.812,TRUE
6086,3,7,3.132,TRUE
6094,3,7,18.276,TRUE
6102,3,7,0.636,TRUE
6114,3,7,5.76,TRUE
6119,2_1,7,1.86,TRUE
6138,3,7,3.156,TRUE
6141,3,7,3.156,TRUE
6142,3,7,16.296,TRUE
6174,3,7,2.088,TRUE
6176,3,7,2.088,TRUE
6179,3,7,3.144,TRUE
6183,3,7,1.32,TRUE
6192,3,7,41.244,TRUE
6202,3,7,1.548,TRUE
6206,3,7,11.664,TRUE
6211,3,7,1.068,TRUE
6237,3,7,10.056,TRUE
6246,3,7,0.8400000000000001,TRUE
6250,8,7,11.484,TRUE
6265,3,7,1.26,TRUE
6269,3,7,0.912,TRUE
6274,3,7,0.912,TRUE
6296,3,7,31.284,TRUE
6314,3,7,15.372,TRUE
37317,3,7,1.284,TRUE
6323,3,7,3.012,TRUE
6327,3,7,0.8280000000000001,TRUE
6328,3,7,1.62,TRUE
6343,3,7,7.56,TRUE
6344,3,7,1.7279999999999998,TRUE
6371,3,7,8.184000000000001,TRUE
6381,3,7,15.552,TRUE
6407,3,7,0.78,TRUE
37266,3,7,0.528,TRUE
6460,3,7,0.983,TRUE
